count_objects,id,name,url
2,35294457,Neckpiece,https://collection.cooperhewitt.org/types/35294457/
1,35294443,Warming stand and cover,https://collection.cooperhewitt.org/types/35294443/
1,35294419,print & woven sample book,http://collection.cooperhewitt.org/types/35294419/
115,35294459,Book illustration,https://collection.cooperhewitt.org/types/35294459/
1,35294467,Jelly dish,https://collection.cooperhewitt.org/types/35294467/
1,35294471,Ice pail and tongs,http://collection.cooperhewitt.org/types/35294471/
1,35294491,Cigarette server and ashtray,https://collection.cooperhewitt.org/types/35294491/
1,35294497,cocktail shaker with lid and strainer,https://collection.cooperhewitt.org/types/35294497/
1,35294465,"sugar bowl & lid, coffee container/base",https://collection.cooperhewitt.org/types/35294465/
6,35294415,marbleized silk samples,https://collection.cooperhewitt.org/types/35294415/
5,35294455,Toothbrush,https://collection.cooperhewitt.org/types/35294455/
1,35294473,Ashtray and cover,https://collection.cooperhewitt.org/types/35294473/
1,35294447,Label - scenic,https://collection.cooperhewitt.org/types/35294447/
1,35292427,deck of cards with joker,https://collection.cooperhewitt.org/types/35292427/
1,35292449,skyphos,https://collection.cooperhewitt.org/types/35292449/
1,35292461,Cutwork border,https://collection.cooperhewitt.org/types/35292461/
1,35292469,Card with lace,https://collection.cooperhewitt.org/types/35292469/
1,35292441,"woodblock, anne ryan",https://collection.cooperhewitt.org/types/35292441/
1,35292477,lace pre-made tape,http://collection.cooperhewitt.org/types/35292477/
2,35292489,Kain kepala (headcloth),https://collection.cooperhewitt.org/types/35292489/
1,35292463,punched work,https://collection.cooperhewitt.org/types/35292463/
1,35292453,patchwork and embroidery,https://collection.cooperhewitt.org/types/35292453/
1,35292475,Fragment (unfinished piece),http://collection.cooperhewitt.org/types/35292475/
1,35292423,Commemorative patchwork,https://collection.cooperhewitt.org/types/35292423/
1,35292403,Bandbox fragments,https://collection.cooperhewitt.org/types/35292403/
13,35292413,yarn sample,https://collection.cooperhewitt.org/types/35292413/
1,35292479,Embroidery tiraz,https://collection.cooperhewitt.org/types/35292479/
1,35292485,Pricked pattern,https://collection.cooperhewitt.org/types/35292485/
5,35292431,"Lamp, floor",https://collection.cooperhewitt.org/types/35292431/
2,35292405,Sidewall/border,https://collection.cooperhewitt.org/types/35292405/
2,35292451,Alabastron,https://collection.cooperhewitt.org/types/35292451/
11,35292433,Sample book page,https://collection.cooperhewitt.org/types/35292433/
1,35292499,Samples from Malmaison,https://collection.cooperhewitt.org/types/35292499/
1,35292487,patchwork: filet and cutwork,http://collection.cooperhewitt.org/types/35292487/
1,35292493,Loom weight,https://collection.cooperhewitt.org/types/35292493/
2,35292457,Chair seat cover,https://collection.cooperhewitt.org/types/35292457/
1,35292443,Scale and case,https://collection.cooperhewitt.org/types/35292443/
1,35292445,Kantharos,https://collection.cooperhewitt.org/types/35292445/
12,35292419,Seal/stamp,https://collection.cooperhewitt.org/types/35292419/
1,35292459,Pair of pockets,http://collection.cooperhewitt.org/types/35292459/
1,35292467,Lace in frame,https://collection.cooperhewitt.org/types/35292467/
1,35292471,Square and triangle,https://collection.cooperhewitt.org/types/35292471/
2,35292491,Coca bag (chuspa),https://collection.cooperhewitt.org/types/35292491/
1,35292497,Ecclesiastical cover,https://collection.cooperhewitt.org/types/35292497/
1,35292415,Table light and case,https://collection.cooperhewitt.org/types/35292415/
3,35292455,Book with embroidered cover,https://collection.cooperhewitt.org/types/35292455/
1,35292473,Seam joint,https://collection.cooperhewitt.org/types/35292473/
1,35286089,hilt,http://collection.cooperhewitt.org/types/35286089/
1,35286013,Box with portrait miniature of a Nun,http://collection.cooperhewitt.org/types/35286013/
1,35286085,Yarn holder? Citron container?,https://collection.cooperhewitt.org/types/35286085/
1,35286007,Monocle,https://collection.cooperhewitt.org/types/35286007/
1,35286025,"bank, coin",https://collection.cooperhewitt.org/types/35286025/
1,35286017,Snuffbox with portrait miniature,https://collection.cooperhewitt.org/types/35286017/
1,35286045,"Sanders [7], inkwell",https://collection.cooperhewitt.org/types/35286045/
1,35286019,Eyeglasses and case,https://collection.cooperhewitt.org/types/35286019/
1,35286059,Mustard pot and stand,https://collection.cooperhewitt.org/types/35286059/
9,35286091,Shoe buckle,https://collection.cooperhewitt.org/types/35286091/
1,35286015,Snuffbox,https://collection.cooperhewitt.org/types/35286015/
7,35286073,casket,https://collection.cooperhewitt.org/types/35286073/
1,35261511,"Fragment, frame (for tapestry)",https://collection.cooperhewitt.org/types/35261511/
13,35257701,Stole,https://collection.cooperhewitt.org/types/35257701/
1,35257757,"Fragment


fragment",http://collection.cooperhewitt.org/types/35257757/
2,35257745,Collar fragment,https://collection.cooperhewitt.org/types/35257745/
38,35260733,nail,https://collection.cooperhewitt.org/types/35260733/
1,35266953,Scroll frame,https://collection.cooperhewitt.org/types/35266953/
1,35266903,Plaque and frame,https://collection.cooperhewitt.org/types/35266903/
2,35266929,"pull,wreath",https://collection.cooperhewitt.org/types/35266929/
2,35266937,"pull, scroll",https://collection.cooperhewitt.org/types/35266937/
1,35266917,"pull, wreath",https://collection.cooperhewitt.org/types/35266917/
1,35266951,"frame, foliage",https://collection.cooperhewitt.org/types/35266951/
25,35287727,toy soldier,https://collection.cooperhewitt.org/types/35287727/
41,35287761,Sarong,https://collection.cooperhewitt.org/types/35287761/
1,35287741,illuminated manuscript page,https://collection.cooperhewitt.org/types/35287741/
9,35287763,Kain panjang (long sarong),https://collection.cooperhewitt.org/types/35287763/
1,35287783,"Plate, etching",https://collection.cooperhewitt.org/types/35287783/
5,35287703,"Buttons, beads",https://collection.cooperhewitt.org/types/35287703/
9,35287729,paper doll costume,https://collection.cooperhewitt.org/types/35287729/
1,35287707,"puppet, policeman",https://collection.cooperhewitt.org/types/35287707/
1,35287735,Paper Doll and Costume,http://collection.cooperhewitt.org/types/35287735/
10,35287701,transparency,https://collection.cooperhewitt.org/types/35287701/
1,35287739,illuminated page fragment,https://collection.cooperhewitt.org/types/35287739/
27,35287725,optical toy,https://collection.cooperhewitt.org/types/35287725/
106,35287733,paper doll,https://collection.cooperhewitt.org/types/35287733/
4,35287799,Wall tiles,https://collection.cooperhewitt.org/types/35287799/
3,35287787,Cards,https://collection.cooperhewitt.org/types/35287787/
1,35287745,"mangle, linen",https://collection.cooperhewitt.org/types/35287745/
2,35287759,Cope,https://collection.cooperhewitt.org/types/35287759/
3,35287709,Printed textile,https://collection.cooperhewitt.org/types/35287709/
1,35287797,Lincrusta-Walton,https://collection.cooperhewitt.org/types/35287797/
16,35287765,Tapa cloth,https://collection.cooperhewitt.org/types/35287765/
7,35287715,Child's dress,https://collection.cooperhewitt.org/types/35287715/
86,35249475,medallion,https://collection.cooperhewitt.org/types/35249475/
38,35249407,earring,https://collection.cooperhewitt.org/types/35249407/
7,35249425,clasp,https://collection.cooperhewitt.org/types/35249425/
12,35249405,pair of earrings,https://collection.cooperhewitt.org/types/35249405/
6,35249491,chain,https://collection.cooperhewitt.org/types/35249491/
223,35255211,Samples,https://collection.cooperhewitt.org/types/35255211/
977,35255209,Ornament,https://collection.cooperhewitt.org/types/35255209/
1,35262061,Plateau,https://collection.cooperhewitt.org/types/35262061/
2,35262089,Pair of cache-pots,https://collection.cooperhewitt.org/types/35262089/
8,35262083,Sugar Bowl and Cover,https://collection.cooperhewitt.org/types/35262083/
1,35262013,cornucopia,https://collection.cooperhewitt.org/types/35262013/
10,35262079,Covered dish,https://collection.cooperhewitt.org/types/35262079/
4,35262085,Custard cup and cover,https://collection.cooperhewitt.org/types/35262085/
5,35262093,Chair leg,https://collection.cooperhewitt.org/types/35262093/
8,35262071,coffee pot,https://collection.cooperhewitt.org/types/35262071/
50919,35237093,Drawing,https://collection.cooperhewitt.org/types/35237093/
32,35259761,rosette,https://collection.cooperhewitt.org/types/35259761/
2,35259703,"frame, diamond",https://collection.cooperhewitt.org/types/35259703/
19,35259739,capital,https://collection.cooperhewitt.org/types/35259739/
10,35259733,furniture mount,https://collection.cooperhewitt.org/types/35259733/
5,35259767,Bell,https://collection.cooperhewitt.org/types/35259767/
4,35259765,griffon,https://collection.cooperhewitt.org/types/35259765/
1,35259773,"head, swan",https://collection.cooperhewitt.org/types/35259773/
1,35265655,clasp and buckle,https://collection.cooperhewitt.org/types/35265655/
1,35265673,Altar piece,https://collection.cooperhewitt.org/types/35265673/
1,35258551,Fragment of funerary pall,https://collection.cooperhewitt.org/types/35258551/
3,35258597,Mantle,https://collection.cooperhewitt.org/types/35258597/
